STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/1/1970,,27,20
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/2/1970,,28,17
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/3/1970,,35,23
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/4/1970,,30,17
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/5/1970,,31,15
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/6/1970,,35,24
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/7/1970,,25,19
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/8/1970,,21,3
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/9/1970,,13,2
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/10/1970,,29,5
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/11/1970,,28,16
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/12/1970,,28,20
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/13/1970,,32,17
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/14/1970,,23,14
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/15/1970,,28,11
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/16/1970,,36,15
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/17/1970,,45,30
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/18/1970,,39,21
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/19/1970,,25,14
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/20/1970,,23,14
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/21/1970,,20,7
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/22/1970,,20,5
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/23/1970,,28,7
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/24/1970,,27,16
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/25/1970,,35,22
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/26/1970,,45,32
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/27/1970,,35,27
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/28/1970,,40,30
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/29/1970,,48,37
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/30/1970,,45,22
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/31/1970,,35,19
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/1/1970,,50,30
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/2/1970,,54,36
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/3/1970,,55,20
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/4/1970,,20,10
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/5/1970,,35,13
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/6/1970,,38,33
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/7/1970,,44,27
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/8/1970,,38,28
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/9/1970,,41,35
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/10/1970,,49,37
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/11/1970,,44,35
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/12/1970,,37,29
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/13/1970,,33,19
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/14/1970,,25,16
